Location,Item,Sale Department,Master Sale Department,DOB,Quantity,Net Amount,Gross Amount,Item Number
317 Marketplace,"16oz Shake","Beverages","NA BEVERAGE",4/19/2018,6,17.6,19.5,342
317 Marketplace,"16oz Shake - ---Chocolate","Beverages","NA BEVERAGE",4/19/2018,2,0,0,0
317 Marketplace,"16oz Shake - ---Oreo","Beverages","NA BEVERAGE",4/19/2018,3,0,0,0
317 Marketplace,"16oz Shake - ---Vanilla","Beverages","NA BEVERAGE",4/19/2018,1,0,0,0
317 Marketplace,"22oz Fountain Drink","Beverages","NA BEVERAGE",4/19/2018,70,124.73,140,251
317 Marketplace,"22oz Shake","Beverages","NA BEVERAGE",4/19/2018,2,8,8,343
317 Marketplace,"22oz Shake - ---Oreo","Beverages","NA BEVERAGE",4/19/2018,1,0,0,0
317 Marketplace,"32oz Fountain Drink","Beverages","NA BEVERAGE",4/19/2018,19,38.22,42.75,252
317 Marketplace,"32oz Refill","Beverages","NA BEVERAGE",4/19/2018,6,9.34,12,644
317 Marketplace,"---Baked Lay's","Sides","FOOD",4/19/2018,1,0,0,233
317 Marketplace,"Banh Mi","EGGWICH","FOOD",4/19/2018,1,8.25,8.25,663
317 Marketplace,"---BBQ Chips","Sides","FOOD",4/19/2018,1,0,0,237
317 Marketplace,"---Birthday","Sides","FOOD",4/19/2018,4,0,0,648
317 Marketplace,"Brunchwich","EGGWICH","FOOD",4/19/2018,1,8.25,8.25,661
317 Marketplace,"---Candy Token","KIDS","FOOD",4/19/2018,1,0,0,354
317 Marketplace,"---Carrot","Sides","FOOD",4/19/2018,1,0,0,649
317 Marketplace,"Cheeseburgerwich","EGGWICH","FOOD",4/19/2018,5,38.92,41.25,662
317 Marketplace,"Chips","Sides","FOOD",4/19/2018,110,125.52,137.5,20002
317 Marketplace,"---Chips House","Sides","FOOD",4/19/2018,2,0,0,42
317 Marketplace,"---Chocolate","Sides","FOOD",4/19/2018,4,0,0,647
317 Marketplace,"Cobb Salad Wrap","FAVORITES","FOOD",4/19/2018,3,23.25,23.25,466
317 Marketplace,"---Coca-Cola (Lg)","Beverages","NA BEVERAGE",4/19/2018,1,0,0,290
317 Marketplace,"---Coca-Cola (Reg)","Beverages","NA BEVERAGE",4/19/2018,1,0,0,289
317 Marketplace,"Coldwich","MODIFIERS","FOOD",4/19/2018,2,0,0,145
317 Marketplace,"Courtney's Cake","Sides","FOOD",4/19/2018,9,17.13,17.55,646
317 Marketplace,"Courtney's Cookie","Sides","FOOD",4/19/2018,15,21.11,22.5,311
317 Marketplace,"Energy Drink","Beverages","NA BEVERAGE",4/19/2018,2,4.5,4.5,1765
317 Marketplace,"Gyro Fav","FAVORITES","FOOD",4/19/2018,1,4.02,7.75,426
317 Marketplace,"Ham","KIDS","FOOD",4/19/2018,2,0,0,363
317 Marketplace,"Hotwich","MODIFIERS","FOOD",4/19/2018,17,0,0,144
317 Marketplace,"Italian Club","FAVORITES","FOOD",4/19/2018,4,29.87,31,263
317 Marketplace,"K Apple Slices","KIDS","FOOD",4/19/2018,1,0,0,367
317 Marketplace,"K Carrots","KIDS","FOOD",4/19/2018,1,0,0,368
317 Marketplace,"K Juice","KIDS","FOOD",4/19/2018,2,0,0,12
317 Marketplace,"K Milk","KIDS","FOOD",4/19/2018,2,0,0,10
317 Marketplace,"K PB & J","KIDS","FOOD",4/19/2018,2,10,10,3
317 Marketplace,"Kidswich","KIDS","FOOD",4/19/2018,3,14.27,15,2
317 Marketplace,"LRG Black Bean Patty!","VEG","FOOD",4/19/2018,4,34,34,532
317 Marketplace,"LRG Buffalo Chicken!","Chicken","FOOD",4/19/2018,3,24.26,25.5,525
317 Marketplace,"LRG Chicken!","Chicken","FOOD",4/19/2018,2,12.14,17,524
317 Marketplace,"LRG Club!","CLASSIC","FOOD",4/19/2018,2,16.15,17,523
317 Marketplace,"LRG Corned Beef!","Beef","FOOD",4/19/2018,1,6.36,8.5,540
317 Marketplace,"LRG Double Meat","MODIFIERS","FOOD",4/19/2018,3,9,9,53
317 Marketplace,"LRG Egg Salad!","CLASSIC","FOOD",4/19/2018,1,8.5,8.5,522
317 Marketplace,"LRG French Dip!","Beef","FOOD",4/19/2018,3,25.5,25.5,541
317 Marketplace,"LRG Grinder!","Italian","FOOD",4/19/2018,8,56.77,68,535
317 Marketplace,"LRG Ham!","HAM","FOOD",4/19/2018,1,8.5,8.5,536
317 Marketplace,"LRG Krab Salad!","Seafood","FOOD",4/19/2018,1,8.5,8.5,542
317 Marketplace,"LRG Meatball!","Italian","FOOD",4/19/2018,1,8.5,8.5,534
317 Marketplace,"LRG Muffuletta!","HAM","FOOD",4/19/2018,1,8.5,8.5,537
317 Marketplace,"LRG P2-Bacon","MODIFIERS","FOOD",4/19/2018,4,6,6,51
317 Marketplace,"LRG P2-Double Cheese","MODIFIERS","FOOD",4/19/2018,2,3,3,50
317 Marketplace,"LRG P3-Avocado","MODIFIERS","FOOD",4/19/2018,4,6,6,52
317 Marketplace,"LRG P3-Sliced Egg","MODIFIERS","FOOD",4/19/2018,1,1.5,1.5,54
317 Marketplace,"LRG Pepperoni Pizzawich!","Italian","FOOD",4/19/2018,1,8.5,8.5,533
317 Marketplace,"LRG Roast Beef!","Beef","FOOD",4/19/2018,2,17,17,539
317 Marketplace,"LRG The Avocado","VEG","FOOD",4/19/2018,2,17,17,530
317 Marketplace,"LRG Tuna Salad!","Seafood","FOOD",4/19/2018,1,8.5,8.5,543
